msgs, stock_sentiment 
"$YY, $VEEV and $FB are selected by our stock screener as decent setups while having great growth fundamentals. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"$BPOP, $PLNT and $VEEV. Strong technicals stocks and near a new high. https://www.chartmill.com/stockscreener.php?filters=m_us_only,p_pg10,v1_50b500,s_str,s2_nnh&amp;timeframe=DAILY&amp;type=CANDLES&amp;months=0.05&amp;width=720&amp;cl=F&amp;o1=3&amp;o2=3&amp;o3=1&amp;op1=200&amp;op2=50&amp;op3=&amp;i1=&amp;i2=&amp;i3=&amp;ip1=&amp;ip2=&amp;ip3=&amp;v=9&amp;sid=16&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Stocks_near_New_High&amp;utm_campaign=social_tracking",None
"$VEEV Veeva Systems (VEEV, $120.24) was the market&#39;s top gainer this month, soaring +11% https://tickeron.com?eventid=651909",None
$VEEV no 3 in @InvestorsBusinessDaily IBD 50 Sat 3.2.19 #software #leader #lifesciences,None
"$VEEV, $BMRN and $FB are good growth stocks and are also showing a technical setup pattern at the moment. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"Bull flags detected by our stock screener in $BPOP, $ABR and $VEEV. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,s_bf&amp;timeframe=DAILY&amp;type=CANDLES&amp;o1=3&amp;op1=200&amp;i1=&amp;ip1=&amp;cl=F&amp;months=0&amp;o2=3&amp;op2=50&amp;i2=&amp;ip2=&amp;width=400&amp;o3=62&amp;op3=&amp;i3=&amp;ip3=&amp;v=9&amp;sid=13&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Bull_Flags&amp;utm_campaign=social_tracking",None
"$VEEV, $PXD and $AMZN are good growth stocks and are also showing a technical setup pattern at the moment. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"Bull flags detected by our stock screener in $ACIA and $VEEV. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,s_bf&amp;timeframe=DAILY&amp;type=CANDLES&amp;o1=3&amp;op1=200&amp;i1=&amp;ip1=&amp;cl=F&amp;months=0&amp;o2=3&amp;op2=50&amp;i2=&amp;ip2=&amp;width=400&amp;o3=62&amp;op3=&amp;i3=&amp;ip3=&amp;v=9&amp;sid=13&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Bull_Flags&amp;utm_campaign=social_tracking",None
"$SIVB, $ESNT and $VEEV are good growth stocks and are also showing a technical setup pattern at the moment. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"Peak gain %, the last 3 expired setups $VEEV",Bullish
